zip,city,lng,lat
1000,Bruxelles,4.351697,50.8465573
1020,Laeken,4.3487134,50.883392
1030,Schaerbeek,4.3737121,50.8676041
1040,Etterbeek,4.3895104,50.8368511
1050,Ixelles,4.3815707,50.8222854
1060,Saint-Gilles,4.345668,50.8267409
1070,Anderlecht,4.3123401,50.8381411
1080,Molenbeek-Saint-Jean,4.3227779,50.8543551
1081,Koekelberg,4.3257084,50.8622633
1082,Berchem-Sainte-Agathe,4.292702,50.8639835
1083,Ganshoren,4.3175103,50.8712396
1090,Jette,4.3260903,50.8777634
1120,Neder-Over-Heembeek,4.390488868,50.89779605
1130,Haren,4.412570873,50.8919661
1140,Evere,4.4021602,50.8704524
1150,Woluwe-Saint-Pierre,4.4432967,50.8292429
1160,Auderghem,4.4331389,50.8156571
1170,Watermael-Boitsfort,4.4158177,50.799394
1180,Uccle,4.3372348,50.8018201
1190,Forest,4.3177512,50.8091426
1200,Woluwe-Saint-Lambert,4.4284842,50.8466928
1210,Saint-Josse-Ten-Noode,4.3723364,50.8530739
1300,Limal,4.5738899,50.6930127
1301,Bierges,4.5894025,50.7111796
1310,La Hulpe,4.4796542,50.7315053
1315,Glimes,4.8384018,50.6799948
1320,Beauvechain,4.7716774,50.7810287
1325,Bonlez,4.6896145,50.7021372
1330,Rixensart,4.527289689,50.7133548
1331,Rosières,4.546311302,50.73713045
1332,Genval,4.497138934,50.72074495
1340,Ottignies,4.5690502,50.666357
1341,Céroux-Mousty,4.529174266,50.6625713
1342,Limelette,4.554902276,50.6851551
1348,Louvain-La-Neuve,4.614156732,50.6741689
1350,Enines,4.9260633,50.6943193
1357,Hélécine,4.9822395,50.7514034
1360,Malèves-Sainte-Marie-Wastines,4.7801225,50.6564717
1367,Autre-Eglise,4.9249295,50.6631583
1370,Dongelberg,4.8203333,50.7016251
1380,Couture-Saint-Germain,4.482569151,50.6628104
1390,Archennes,4.6702286,50.7516077
1400,Monstreux,4.286021634,50.5931607
1401,Baulers,4.358648257,50.6172472
1402,Thines,4.382595409,50.58678735
1404,Bornival,4.264926221,50.6048658
1410,Waterloo,4.3978047,50.7173563
1420,Braine-L'alleud,4.354814544,50.6940942
1421,Ophain-Bois-Seigneur-Isaac,4.350790235,50.65630215
1428,Lillois-Witterzée,4.3670582,50.6483743
1430,Bierghes,4.122725798,50.69657845
1435,Corbais,4.640828606,50.6491686
1440,Braine-Le-Château,4.266669073,50.68088165
1450,Chastre,4.636678,50.6080835
1457,Nil-Saint-Vincent-Saint-Martin,4.6743285,50.6407147
1460,Ittre,4.261167564,50.6463367
1461,Haut-Ittre,4.296471951,50.6488039
1470,Baisy-Thy,4.488077819,50.6040225
1471,Loupoigne,4.431964496,50.5929226
1472,Vieux-Genappe,4.401503098,50.62902485
1473,Glabais,4.446488694,50.63691535
1474,Ways,4.472942947,50.6269861
1476,Houtain-Le-Val,4.411033952,50.5762935
1480,Clabecq,4.2214131,50.6893737
1490,Court-Saint-Etienne,4.5685766,50.6443208
1495,Marbais,4.538097597,50.55047955
1500,Halle,4.2374349,50.7360524
1501,Buizingen,4.260508082,50.73793415
1502,Lembeek,4.214343059,50.7092954
1540,Herfelingen,4.0974868,50.747729
1541,Sint-Pieters-Kapelle,3.998576672,50.70721955
1547,Biévène,3.943147,50.7164481
1560,Hoeilaart,4.474407,50.7674846
1570,Galmaarden,3.9709983,50.7527192
1600,Oudenaken,4.1958992,50.7804875
1601,Ruisbroek,4.29861047,50.7848617
1602,Vlezenbeek,4.236041072,50.805593
1620,Drogenbos,4.3173542,50.786532
1630,Linkebeek,4.3345641,50.7716092
1640,Rhode-Saint-Genèse,4.3463687,50.74503
1650,Beersel,4.305132149,50.7684432
1651,Lot,4.272998622,50.76514035
1652,Alsemberg,4.328170341,50.7449476
1653,Dworp,4.295015283,50.73423975
1654,Huizingen,4.273254597,50.74931535
1670,Bogaarden,4.1367803,50.7398062
1671,Elingen,4.174198072,50.7793527
1673,Beert,4.185344936,50.7354888
1674,Bellingen,4.160145028,50.73779765
1700,Dilbeek,4.265729967,50.84408625
1701,Itterbeek,4.2501187,50.8395994
1702,Groot-Bijgaarden,4.263566837,50.8714357
